01, Increments, 7, "i++", "i--"
02, Increments, 8, "j++", "j--"
03, ConditionalsBoundary, 7, "i < values.length - 1", "i <= values.length - 1"
04, ConditionalsBoundary, 8, "j < values.length - 1 - i", "j <= values.length - 1 - i"
05, ConditionalsBoundary, 9, "values[j + 1] < values[j]", "values[j + 1] <= values[j]"
06, Math, 7, "values.length - 1", "values.length + 1"
07, Math, 8, "values.length - 1 - i", "values.length + 1 + i"
08, Math, 9, "j + 1", "j - 1"
09, Math, 10, "j + 1", "j - 1"
10, Math, 11, "j + 1", "j - 1"
11, NegateConditionals, 7, "i < values.length - 1", "i >= values.length - 1"
12, NegateConditionals, 8, "j < values.length - 1 - i", "j >= values.length - 1 - i"
13, NegateConditionals, 9, "values[j + 1] < values[j]", "values[j + 1] >= values[j]"
